region,woreda,date,acute_cases,roll_mean,roll_std,variability_factor
somali,east_imi,2020-06-01,0.0,0.0,0.0,
somali,east_imi,2020-07-01,0.0,0.0,0.0,
somali,east_imi,2020-08-01,0.0,0.0,0.0,
somali,east_imi,2020-09-01,0.0,0.0,0.0,
somali,east_imi,2020-10-01,0.0,0.0,0.0,
somali,east_imi,2020-11-01,0.0,0.0,0.0,
somali,east_imi,2020-12-01,0.0,0.0,0.0,
somali,east_imi,2021-01-01,0.0,0.0,0.0,
somali,east_imi,2021-02-01,0.0,0.0,0.0,
somali,east_imi,2021-03-01,0.0,0.0,0.0,
somali,east_imi,2021-04-01,0.0,0.0,0.0,
somali,east_imi,2021-05-01,0.0,0.0,0.0,
somali,east_imi,2021-06-01,0.0,0.0,0.0,
somali,east_imi,2021-07-01,0.0,0.0,0.0,
somali,east_imi,2021-08-01,0.0,0.0,0.0,
somali,east_imi,2021-09-01,0.0,0.0,0.0,
somali,east_imi,2021-10-01,0.0,0.0,0.0,
somali,east_imi,2021-11-01,0.0,0.0,0.0,
somali,east_imi,2021-12-01,0.0,0.0,0.0,
somali,east_imi,2022-01-01,0.0,0.0,0.0,
somali,east_imi,2022-02-01,0.0,0.0,0.0,
somali,east_imi,2022-03-01,0.0,0.0,0.0,
somali,east_imi,2022-04-01,0.0,0.0,0.0,
somali,east_imi,2022-05-01,0.0,0.0,0.0,
somali,east_imi,2022-06-01,0.0,0.0,0.0,
somali,east_imi,2022-07-01,88.0,14.666666666666666,35.92584956081994,2.449489742783178
somali,east_imi,2022-08-01,52.0,23.333333333333332,37.898109011752375,1.6242046719322447
somali,east_imi,2022-09-01,49.0,31.5,37.13623567353051,1.178928116620016
somali,east_imi,2022-10-01,66.0,42.5,35.68613176011096,0.8396736884731991
somali,east_imi,2022-11-01,45.0,50.0,29.086079144497972,0.5817215828899595
somali,east_imi,2022-12-01,73.0,62.166666666666664,16.557978942693058,0.26634818674573285
somali,east_imi,2023-01-01,82.0,61.166666666666664,14.770466027403018,0.24147900862239266
somali,east_imi,2023-02-01,0.0,52.5,29.317230428538096,0.5584234367340589
somali,east_imi,2023-03-01,660.0,154.33333333333334,249.4479237569771,1.6162932424858127
somali,east_imi,2023-04-01,279.0,189.83333333333334,249.5190707474414,1.3144112594246253
somali,east_imi,2023-05-01,0.0,182.33333333333334,255.35126133752829,1.4004639561473213
somali,east_imi,2023-06-01,0.0,170.16666666666666,263.2203766175154,1.5468386480950955
somali,east_imi,2023-07-01,168.0,184.5,259.7781746028715,1.4080117864654282
somali,east_imi,2023-08-01,144.0,208.5,245.5880697428114,1.1778804304211579
somali,east_imi,2023-09-01,36.0,104.5,111.87090774638419,1.0705350023577433
somali,east_imi,2023-10-01,145.0,82.16666666666667,78.45104630702302,0.954779468239631
somali,east_imi,2023-11-01,279.0,128.66666666666666,99.79111516897018,0.7755786153028771
somali,east_imi,2023-12-01,277.0,174.83333333333334,92.14210040294648,0.5270282196546033
somali,east_imi,2024-01-01,237.0,186.33333333333334,95.36805894358274,0.5118142698224476
somali,east_imi,2024-02-01,182.0,192.66666666666666,93.23232629655162,0.483904807767569
somali,east_imi,2024-03-01,30.0,191.66666666666666,95.25894533673292,0.49700319306121526
somali,east_imi,2024-04-01,241.0,207.66666666666666,93.90562638450729,0.452194027533743
somali,east_imi,2024-05-01,133.0,183.33333333333334,90.58182304782052,0.4940826711699301
somali,east_imi,2024-06-01,20.0,140.5,97.89943820063525,0.6967931544529199
somali,east_imi,2024-07-01,0.0,101.0,98.98282679333822,0.9800279880528536
somali,east_imi,2024-08-01,0.0,70.66666666666667,97.06423989640396,1.373550564571754
somali,east_imi,2024-09-01,0.0,65.66666666666667,100.29689260723215,1.5273638468106419
somali,east_imi,2024-10-01,0.0,25.5,53.2681893816562,2.088948603202204
somali,east_imi,2024-11-01,0.0,3.3333333333333335,8.164965809276566,2.4494897427829696
somali,east_imi,2024-12-01,0.0,0.0,0.0,
somali,west_imi,2019-01-01,0.0,,,
somali,west_imi,2019-02-01,0.0,,,
somali,west_imi,2019-03-01,0.0,0.0,0.0,
somali,west_imi,2019-04-01,0.0,0.0,0.0,
